RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
3354,"R40446","6/6/2018","Electronic Employment Eligibility Verification","https://crsreports.congress.gov/product/pdf/download/R/R40446/R40446.pdf/","13","03/19/2009"
3355,"R45217","6/6/2018","FY2018 Military Construction Authorizations and Appropriations","https://crsreports.congress.gov/product/pdf/download/R/R45217/R45217.pdf/","6","06/06/2018"
3356,"LSB10147","6/6/2018","The Rise and Decline of the Alien Tort Statute","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10147/LSB10147.pdf/","2","06/06/2018"
3357,"LSB10146","6/5/2018","Masterpiece Cakeshop: Proving Government Hostility to Religion","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10146/LSB10146.pdf/","2","06/05/2018"
3358,"LSB10071","6/5/2018","Victim Restitution: Attorneys' Fees for Internal Investigations?","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10071/LSB10071.pdf/","3","02/06/2018"
3359,"LSB10143","6/4/2018","Criminal Defendant's Sixth Amendment Right to Autonomy in Maintaining Innocence","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10143/LSB10143.pdf/","2","06/04/2018"
3360,"R45013","6/4/2018","FY2018 National Defense Authorization Act","https://crsreports.congress.gov/product/pdf/download/R/R45013/R45013.pdf/","10","11/08/2017"
3361,"R42561","6/4/2018","The American Opportunity Tax Credit: Overview, Analysis, and Policy Options","https://crsreports.congress.gov/product/pdf/download/R/R42561/R42561.pdf/","19","06/11/2012"
3362,"LSB10113","6/4/2018","What Happens When Five Supreme Court Justices Can't Agree?","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10113/LSB10113.pdf/","5","04/05/2018"
3363,"R45211","6/1/2018","Prioritizing Waterway Lock Projects: Barge Traffic Changes","https://crsreports.congress.gov/product/pdf/download/R/R45211/R45211.pdf/","3","06/01/2018"
3364,"R44947","6/1/2018","The Alien Tort Statute (ATS): A Primer","https://crsreports.congress.gov/product/pdf/download/R/R44947/R44947.pdf/","4","09/15/2017"
3365,"LSB10142","5/31/2018","An Epic Decision from the Supreme Court: The Supreme Court Rules Employee Class Action Waivers Are Enforceable","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10142/LSB10142.pdf/","3","05/31/2018"
3366,"LSB10145","5/31/2018","Following the Money: Should Federal Law Require Litigants to Disclose Litigation Funding Agreements?","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10145/LSB10145.pdf/","2","06/05/2018"
3367,"IF10898","5/31/2018","Forest Service: FY2018 Appropriations and FY2019 Request","https://crsreports.congress.gov/product/pdf/download/IF/IF10898/IF10898.pdf/","3","05/31/2018"
3368,"R45209","5/31/2018","The House Journal: Origin, Purpose, and Approval","https://crsreports.congress.gov/product/pdf/download/R/R45209/R45209.pdf/","4","05/31/2018"
3369,"IF10897","5/30/2018","Global Oil Markets and U.S. Gasoline Prices 2018","https://crsreports.congress.gov/product/pdf/download/IF/IF10897/IF10897.pdf/","3","05/30/2018"
3370,"R44842","5/29/2018","FBI Director Nominations, 1973-2017","https://crsreports.congress.gov/product/pdf/download/R/R44842/R44842.pdf/","7","05/10/2017"
3371,"R45207","5/29/2018","Federal Aviation Administration (FAA) Reauthorization Issues and Debate in the 115th Congress","https://crsreports.congress.gov/product/pdf/download/R/R45207/R45207.pdf/","3","05/30/2018"
3372,"R42593","5/24/2018","Prescription Drug Monitoring Programs","https://crsreports.congress.gov/product/pdf/download/R/R42593/R42593.pdf/","18","07/10/2012"
3373,"R42019","5/24/2018","The International Monetary Fund","https://crsreports.congress.gov/product/pdf/download/R/R42019/R42019.pdf/","14","09/22/2011"
3374,"LSB10136","5/23/2018","DACA Rescission: Legal Issues and Litigation Status","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10136/LSB10136.pdf/","3","05/23/2018"
3375,"R43949","5/23/2018","Federal Financing for the State Children's Health Insurance Program (CHIP)","https://crsreports.congress.gov/product/pdf/download/R/R43949/R43949.pdf/","19","03/19/2015"
3376,"R44927","5/22/2018","Department of Homeland Security Appropriations: FY2018","https://crsreports.congress.gov/product/pdf/download/R/R44927/R44927.pdf/","6","08/24/2017"
3377,"IF10891","5/22/2018","FY2019 National Defense Authorization Act: An Overview of H.R. 5515, as Reported","https://crsreports.congress.gov/product/pdf/download/IF/IF10891/IF10891.pdf/","2","05/22/2018"
3378,"IF10893","5/22/2018","Merger and Acquisition Brokers: Overview and Proposals for Relief","https://crsreports.congress.gov/product/pdf/download/IF/IF10893/IF10893.pdf/","2","05/22/2018"
3379,"R44963","5/22/2018","Wastewater Infrastructure: Overview, Funding, and Legislative Developments","https://crsreports.congress.gov/product/pdf/download/R/R44963/R44963.pdf/","6","09/22/2017"
3380,"R45202","5/21/2018","The Federal Budget: Overview and Issues for FY2019 and Beyond","https://crsreports.congress.gov/product/pdf/download/R/R45202/R45202.pdf/","3","05/22/2018"
3381,"R45201","5/18/2018","Indian Health Service (IHS) FY2019 Budget Request and Funding History: A Fact Sheet","https://crsreports.congress.gov/product/pdf/download/R/R45201/R45201.pdf/","3","05/18/2018"
3382,"R45200","5/18/2018","Internet Freedom in China: U.S. Government Activity, Private Sector Initiatives, and Issues of Congressional Interest","https://crsreports.congress.gov/product/pdf/download/R/R45200/R45200.pdf/","3","05/18/2018"
3383,"R45203","5/18/2018","U.S. Department of State Personnel: Background and Selected Issues for Congress ","https://crsreports.congress.gov/product/pdf/download/R/R45203/R45203.pdf/","4","05/22/2018"
3384,"R45198","5/17/2018","U.S. and Global Trade Agreements: Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R45198/R45198.pdf/","7","05/17/2018"
3385,"R45199","5/17/2018","Violence Against Journalists in Mexico: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R45199/R45199.pdf/","3","05/17/2018"
3386,"LSB10134","5/17/2018","Withdrawal from the Iran Nuclear Deal: Legal Authorities and Implications","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10134/LSB10134.pdf/","2","05/17/2018"
3387,"R45205","5/16/2018","Harry W. Colmery Veterans Educational Assistance Act of 2017 (P.L. 115-48)","https://crsreports.congress.gov/product/pdf/download/R/R45205/R45205.pdf/","3","05/25/2018"
3388,"IF10888","5/16/2018","Legislation to Lift the Investment Company Act Exemption for Funds Based in U.S. Territories","https://crsreports.congress.gov/product/pdf/download/IF/IF10888/IF10888.pdf/","2","05/16/2018"
3389,"R44948","5/16/2018","Social Security Disability Insurance (SSDI) and Supplemental Security Income (SSI): Eligibility, Benefits, and Financing","https://crsreports.congress.gov/product/pdf/download/R/R44948/R44948.pdf/","15","09/15/2017"
