Title,source,source link,link,link date,downloaded on,download success,file name,file path
Work officially begins to replace Offutt’s aging runway,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2444567/work-officially-begins-to-replace-offutts-aging-runway/,2021-01-29 14:10,2021-01-29 21:24,True,Work officially begins to replace Offutt’s aging runway.pdf,documents/parsed_text/AF_afcec/AF_afcec/Work officially begins to replace Offutt’s aging runway.pdf
AF environmental study greenlights Edwards solar project,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2443262/af-environmental-study-greenlights-edwards-solar-project/,2021-01-29 14:10,2021-01-29 21:24,True,AF environmental study greenlights Edwards solar project.pdf,documents/parsed_text/AF_afcec/AF_afcec/AF environmental study greenlights Edwards solar project.pdf
Signed lease signals Kirtland research park underway,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2437681/signed-lease-signals-kirtland-research-park-underway/,2021-01-29 14:10,2021-01-29 21:24,True,Signed lease signals Kirtland research park underway.pdf,documents/parsed_text/AF_afcec/AF_afcec/Signed lease signals Kirtland research park underway.pdf
Annual DOD Housing Survey opens for tenant feedback Dec. 8,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2437163/annual-dod-housing-survey-opens-for-tenant-feedback-dec-8/,2021-01-29 14:10,2021-01-29 21:24,True,Annual DOD Housing Survey opens for tenant feedback Dec. 8.pdf,documents/parsed_text/AF_afcec/AF_afcec/Annual DOD Housing Survey opens for tenant feedback Dec. 8.pdf
AFICC creates innovative contract vehicle for BRAC program,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2425979/aficc-creates-innovative-contract-vehicle-for-brac-program/,2021-01-29 14:10,2021-01-29 21:24,True,AFICC creates innovative contract vehicle for BRAC program.pdf,documents/parsed_text/AF_afcec/AF_afcec/AFICC creates innovative contract vehicle for BRAC program.pdf
"Simple comment leads to royal education, career growth, experience",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2426057/simple-comment-leads-to-royal-education-career-growth-experience/,2021-01-29 14:10,2021-01-29 21:24,True,"Simple comment leads to royal education, career growth, experience.pdf","documents/parsed_text/AF_afcec/AF_afcec/Simple comment leads to royal education, career growth, experience.pdf"
"Commentary: Get involved, support your AFIMSC family",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2425965/commentary-get-involved-support-your-afimsc-family/,2021-01-29 14:10,2021-01-29 21:24,True,"Commentary: Get involved, support your AFIMSC family.pdf","documents/parsed_text/AF_afcec/AF_afcec/Commentary: Get involved, support your AFIMSC family.pdf"
Construction picks up for new Airman Training Complex at JBSA-Lackland,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2415710/construction-picks-up-for-new-airman-training-complex-at-jbsa-lackland/,2021-01-29 14:10,2021-01-29 21:24,True,Construction picks up for new Airman Training Complex at JBSA-Lackland.pdf,documents/parsed_text/AF_afcec/AF_afcec/Construction picks up for new Airman Training Complex at JBSA-Lackland.pdf
"AFIMSC builds culture of family, fun",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2410984/afimsc-builds-culture-of-family-fun/,2021-01-29 14:10,2021-01-29 21:24,True,"AFIMSC builds culture of family, fun.pdf","documents/parsed_text/AF_afcec/AF_afcec/AFIMSC builds culture of family, fun.pdf"
"COMPUSEC automation delivers time, cost savings",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2410177/compusec-automation-delivers-time-cost-savings/,2021-01-29 14:10,2021-01-29 21:24,True,"COMPUSEC automation delivers time, cost savings.pdf","documents/parsed_text/AF_afcec/AF_afcec/COMPUSEC automation delivers time, cost savings.pdf"
"App for military resources available to service members, families",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2411002/app-for-military-resources-available-to-service-members-families/,2021-01-29 14:10,2021-01-29 21:24,True,"App for military resources available to service members, families.pdf","documents/parsed_text/AF_afcec/AF_afcec/App for military resources available to service members, families.pdf"
"Agile Patriot guides, grows future AFMC leaders",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2410175/agile-patriot-guides-grows-future-afmc-leaders/,2021-01-29 14:10,2021-01-29 21:24,True,"Agile Patriot guides, grows future AFMC leaders.pdf","documents/parsed_text/AF_afcec/AF_afcec/Agile Patriot guides, grows future AFMC leaders.pdf"
Call for Innovation Rodeo ideas nears Dec. 1 deadline,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2406747/call-for-innovation-rodeo-ideas-nears-dec-1-deadline/,2021-01-29 14:10,2021-01-29 21:24,True,Call for Innovation Rodeo ideas nears Dec. 1 deadline.pdf,documents/parsed_text/AF_afcec/AF_afcec/Call for Innovation Rodeo ideas nears Dec. 1 deadline.pdf
New AFMC supervisor course aims to develop stronger leaders,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2403029/new-afmc-supervisor-course-aims-to-develop-stronger-leaders/,2021-01-29 14:10,2021-01-29 21:24,True,New AFMC supervisor course aims to develop stronger leaders.pdf,documents/parsed_text/AF_afcec/AF_afcec/New AFMC supervisor course aims to develop stronger leaders.pdf
AFCEC program manager named Energy Manager of the Year,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2401414/afcec-program-manager-named-energy-manager-of-the-year/,2021-01-29 14:10,2021-01-29 21:24,True,AFCEC program manager named Energy Manager of the Year.pdf,documents/parsed_text/AF_afcec/AF_afcec/AFCEC program manager named Energy Manager of the Year.pdf
Help drive down risks of deaths on roadways,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2401511/help-drive-down-risks-of-deaths-on-roadways/,2021-01-29 14:10,2021-01-29 21:24,True,Help drive down risks of deaths on roadways.pdf,documents/parsed_text/AF_afcec/AF_afcec/Help drive down risks of deaths on roadways.pdf
