Title,source,source link,link,link date,downloaded on,download success,file name,file path
Air Force Aid Society,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a1/publication/afi36-3111/afi36-3111.pdf,2021-01-29 14:28,2021-01-29 22:11,True,afi36-3111.pdf,../documents/pdfs/AF_epubs/departmental/afi36-3111.pdf
CERTIFICATE OF RELEASE OR DISCHARGE FROM ACTIVE DUTY (DD FORM 214/5 SERIES),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a1/publication/afi36-3202/afi36-3202.pdf,2021-01-29 14:28,2021-01-29 22:11,True,afi36-3202.pdf,../documents/pdfs/AF_epubs/departmental/afi36-3202.pdf
SERVICE RETIREMENTS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/,2021-01-29 14:28,,False,None,None
PROCEDURES FOR APPLYING AS A CONSCIENTIOUS OBJECTOR,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a1/publication/afi36-3204/afi36-3204.pdf,2021-01-29 14:28,2021-01-29 22:11,True,afi36-3204.pdf,../documents/pdfs/AF_epubs/departmental/afi36-3204.pdf
APPLYING FOR THE PALACE CHASE AND PALACE FRONT PROGRAMS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a1/publication/afi36-3205/afi36-3205.pdf,2021-01-29 14:28,2021-01-29 22:11,True,afi36-3205.pdf,../documents/pdfs/AF_epubs/departmental/afi36-3205.pdf
ADMINISTRATIVE DISCHARGE PROCEDURES FOR COMMISSIONED OFFICERS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a1/publication/afi36-3206/afi36-3206.pdf,2021-01-29 14:28,2021-01-29 22:12,True,afi36-3206.pdf,../documents/pdfs/AF_epubs/departmental/afi36-3206.pdf
SEPARATING COMMISSIONED OFFICERS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a1/publication/afi36-3207/afi36-3207.pdf,2021-01-29 14:28,2021-01-29 22:12,True,afi36-3207.pdf,../documents/pdfs/AF_epubs/departmental/afi36-3207.pdf
ADMINISTRATIVE SEPARATION OF AIRMEN,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a1/publication/afi36-3208/afi36-3208.pdf,2021-01-29 14:28,2021-01-29 22:12,True,afi36-3208.pdf,../documents/pdfs/AF_epubs/departmental/afi36-3208.pdf
SEPARATION AND RETIREMENT PROCEDURES FOR AIR NATIONAL GUARD AND AIR FORCE RESERVE MEMBERS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a1/publication/afi36-3209/afi36-3209.pdf,2021-01-29 14:28,2021-01-29 22:12,True,afi36-3209.pdf,../documents/pdfs/AF_epubs/departmental/afi36-3209.pdf
"PHYSICAL EVALUATION FOR RETENTION, RETIREMENT, AND SEPARATION",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/af_a1/publication/afi36-3212/afi36-3212.pdf,2021-01-29 14:28,2021-01-29 22:12,True,afi36-3212.pdf,../documents/pdfs/AF_epubs/departmental/afi36-3212.pdf
