Title,source,source link,link,link date
Call for Innovation Rodeo ideas nears Dec. 1 deadline,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2406747/call-for-innovation-rodeo-ideas-nears-dec-1-deadline/,2021-01-29 14:10
New AFMC supervisor course aims to develop stronger leaders,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2403029/new-afmc-supervisor-course-aims-to-develop-stronger-leaders/,2021-01-29 14:10
AFCEC program manager named Energy Manager of the Year,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2401414/afcec-program-manager-named-energy-manager-of-the-year/,2021-01-29 14:10
Help drive down risks of deaths on roadways,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2401511/help-drive-down-risks-of-deaths-on-roadways/,2021-01-29 14:10
"Air Force awards contract for new cyberspace test facility, munitions complex at Eglin",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2395804/air-force-awards-contract-for-new-cyberspace-test-facility-munitions-complex-at/,2021-01-29 14:10
"Multi-wing, multiagency exercise tests Offutt maintainer’s ability to operate",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2396733/multi-wing-multiagency-exercise-tests-offutt-maintainers-ability-to-operate/,2021-01-29 14:10
AFCEC awarded patent for new runway repair technology,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2390886/afcec-awarded-patent-for-new-runway-repair-technology/,2021-01-29 14:10
AFCEC hosts annual Discipline Working Group Workshop,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2390526/afcec-hosts-annual-discipline-working-group-workshop/,2021-01-29 14:10
AFCEC begins rollout of high-tech EOD robots to installations,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2390028/afcec-begins-rollout-of-high-tech-eod-robots-to-installations/,2021-01-29 14:10
AFIMSC key to disaster recovery at installations,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2389798/afimsc-key-to-disaster-recovery-at-installations/,2021-01-29 14:10
AFCEC leads major airfield modernization at Wake Island Airfield,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2381313/afcec-leads-major-airfield-modernization-at-wake-island-airfield/,2021-01-29 14:10
AFCEC announces 2020 Air Force Design Awards winners,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2381334/afcec-announces-2020-air-force-design-awards-winners/,2021-01-29 14:10
Community partners with SAFB for storm water management,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2386704/community-partners-with-safb-for-storm-water-management/,2021-01-29 14:10
Turning point: Tyndall breaks ground on ABM Simulator Facility,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2380310/turning-point-tyndall-breaks-ground-on-abm-simulator-facility/,2021-01-29 14:10
"Tyndall PMO makes smart investments, saves $",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2375684/tyndall-pmo-makes-smart-investments-saves/,2021-01-29 14:10
Modeling the installation of the future,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2374881/modeling-the-installation-of-the-future/,2021-01-29 14:10
"Air Force medical entomology supports wide-reaching mission, seeks candidates",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2374883/air-force-medical-entomology-supports-wide-reaching-mission-seeks-candidates/,2021-01-29 14:10
‘AFMC We Need’ campaign continues to drive change,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2372818/afmc-we-need-campaign-continues-to-drive-change/,2021-01-29 14:10
Tinker completes construction for the Air Force’s largest ESPC project,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2369629/tinker-completes-construction-for-the-air-forces-largest-espc-project/,2021-01-29 14:10
Tyndall PMO awards $15 million in AFWERX Base of the Future contracts ,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2366958/tyndall-pmo-awards-15-million-in-afwerx-base-of-the-future-contracts/,2021-01-29 14:10
"AFIMSC council focuses on improving diversity, inclusion",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2367702/afimsc-council-focuses-on-improving-diversity-inclusion/,2021-01-29 14:10
AFCEC space optimization efforts key to rightsizing facilities at installations,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2364767/afcec-space-optimization-efforts-key-to-rightsizing-facilities-at-installations/,2021-01-29 14:10
Air Force partnership helps rare woodpecker thrive,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2364759/air-force-partnership-helps-rare-woodpecker-thrive/,2021-01-29 14:10
AFCEC’s APE team continues to certify essential evaluators despite COVID-19 restrictions,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2363455/afcecs-ape-team-continues-to-certify-essential-evaluators-despite-covid-19-rest/,2021-01-29 14:10
Air Force awards contract for munitions storage facilities at Andersen AFB,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2363254/air-force-awards-contract-for-munitions-storage-facilities-at-andersen-afb/,2021-01-29 14:10
Air Force awards multiple contracts for airfield construction at NAS Keflavik,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2356995/air-force-awards-multiple-contracts-for-airfield-construction-at-nas-keflavik/,2021-01-29 14:10
"Tyndall PMO, AFCEC awards first-ever Other Transactional Authority as IROC prototype ",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2350787/tyndall-pmo-afcec-awards-first-ever-other-transactional-authority-as-iroc-proto/,2021-01-29 14:10
AFCEC helps Air Force transition to the next generation KC-46A tanker,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2347555/afcec-helps-air-force-transition-to-the-next-generation-kc-46a-tanker/,2021-01-29 14:10
DAF Spouse Leaders discuss the New Ops Normal for Families,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2347562/daf-spouse-leaders-discuss-the-new-ops-normal-for-families/,2021-01-29 14:10
