Title,source,source link,link,link date,downloaded on,download success,file name,file path
BOARDS OF INQUIRY FOR PERSONNEL MISSING UNDER HOSTILE CONDITIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-106/afpci36-106.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-106.pdf,../documents/pdfs/AF_epubs/foa/afpci36-106.pdf
OFFICIAL DUTY HOURS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-107/afpci36-107.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-107.pdf,../documents/pdfs/AF_epubs/foa/afpci36-107.pdf
AIR FORCE PERSONNEL PROGRAM IMPLEMENTATION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-108/afpci36-108.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-108.pdf,../documents/pdfs/AF_epubs/foa/afpci36-108.pdf
REDUCTION-IN-FORCE BOARD,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-109/afpci36-109.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-109.pdf,../documents/pdfs/AF_epubs/foa/afpci36-109.pdf
FORCE SHAPING BOARDS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-110/afpci36-110.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-110.pdf,../documents/pdfs/AF_epubs/foa/afpci36-110.pdf
SELECTIVE EARLY RETIREMENT BOARDS AND ENHANCED SELECTIVE EARLY RETIREMENT BOARDS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-111/afpci36-111.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-111.pdf,../documents/pdfs/AF_epubs/foa/afpci36-111.pdf
LINE OFFICER INITIAL SKILL TRAINING RECLASSIFICATION PROCEDURES,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-112/afpci36-112.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-112.pdf,../documents/pdfs/AF_epubs/foa/afpci36-112.pdf
USAF OFFICER PROMOTION REVIEW BOARD (0-6 & BELOW),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-113/afpci36-113.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-113.pdf,../documents/pdfs/AF_epubs/foa/afpci36-113.pdf
PURPLE HEART REVIEW BOARD,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-114/afpci36-114.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-114.pdf,../documents/pdfs/AF_epubs/foa/afpci36-114.pdf
FITNESS ASSESSMENT APPEALS BOARD,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afpc/publication/afpci36-115/afpci36-115.pdf,2021-01-29 14:39,2021-01-29 22:03,True,afpci36-115.pdf,../documents/pdfs/AF_epubs/foa/afpci36-115.pdf
